Team,NAME,Jersey,POS,AGE,HT,WT,COLLEGE,SALARY
Dallas Mavericks,Josh Green,8,SG,22,"6' 6""",210 lbs,Arizona,"$4,765,339"
Dallas Mavericks,Tim Hardaway Jr.,10,SF,31,"6' 5""",205 lbs,Michigan,"$17,897,728"
Dallas Mavericks,Jaden Hardy,1,G,21,"6' 4""",198 lbs,--,"$1,719,864"
Dallas Mavericks,Richaun Holmes,20,F,29,"6' 10""",240 lbs,Bowling Green,"$12,046,020"
Dallas Mavericks,Kyrie Irving,11,PG,31,"6' 2""",191 lbs,Duke,"$37,037,037"
Dallas Mavericks,Derrick Jones Jr.,55,SF,26,"6' 6""",210 lbs,UNLV,"$2,019,706"
Dallas Mavericks,Maxi Kleber,42,PF,31,"6' 10""",240 lbs,--,"$11,000,000"
Dallas Mavericks,A.J. Lawson,9,G,23,"6' 6""",185 lbs,South Carolina,--
Dallas Mavericks,Dereck Lively II,2,C,19,"7' 1""",234 lbs,Duke,"$4,775,640"
Dallas Mavericks,Mike Miles Jr.,14,G,21,"6' 2""",205 lbs,TCU,--
Dallas Mavericks,Markieff Morris,88,PF,34,"6' 9""",245 lbs,Kansas,--
Dallas Mavericks,Dwight Powell,7,C,32,"6' 10""",240 lbs,Stanford,"$4,000,000"
Dallas Mavericks,Olivier-Maxence Prosper,18,F,21,"6' 8""",215 lbs,Marquette,"$2,733,360"
Dallas Mavericks,Jordan Walker,16,SG,24,"5' 11""",170 lbs,UAB,--
Dallas Mavericks,Joe Wieskamp,37,SF,24,"6' 6""",205 lbs,Iowa,"$1,927,896"
Dallas Mavericks,Grant Williams,3,PF,24,"6' 6""",236 lbs,Tennessee,"$12,325,581"
Denver Nuggets,Christian Braun,0,G,22,"6' 6""",220 lbs,Kansas,"$2,949,120"
Denver Nuggets,Kentavious Caldwell-Pope,5,SG,30,"6' 5""",204 lbs,Georgia,"$14,704,938"
Denver Nuggets,Vlatko Cancar,31,SF,26,"6' 8""",236 lbs,--,"$2,234,359"
Denver Nuggets,Collin Gillespie,21,G,24,"6' 3""",190 lbs,Villanova,--
Denver Nuggets,Aaron Gordon,50,PF,28,"6' 8""",235 lbs,Arizona,"$22,266,182"
Denver Nuggets,Justin Holiday,0,SF,34,"6' 6""",180 lbs,Washington,"$2,019,706"
Denver Nuggets,Jay Huff,NA,C,25,"7' 1""",240 lbs,Virginia,--
Denver Nuggets,Reggie Jackson,7,PG,33,"6' 2""",208 lbs,Boston College,"$5,000,000"
Denver Nuggets,Nikola Jokic,15,C,28,"6' 11""",284 lbs,--,"$47,607,350"
Denver Nuggets,DeAndre Jordan,6,C,35,"6' 11""",265 lbs,Texas A&M,"$2,019,706"
Denver Nuggets,Braxton Key,NA,F,26,"6' 8""",225 lbs,Virginia,--
Denver Nuggets,Jamal Murray,27,PG,26,"6' 4""",215 lbs,Kentucky,"$33,833,400"
Denver Nuggets,Zeke Nnaji,22,PF,22,"6' 9""",240 lbs,Arizona,"$4,306,281"
Denver Nuggets,Jalen Pickett,NA,G,23,"6' 4""",202 lbs,Siena,"$2,019,706"
Denver Nuggets,Michael Porter Jr.,1,SF,25,"6' 10""",218 lbs,Missouri,"$33,386,850"
Denver Nuggets,Ish Smith,14,PG,35,"6' 0""",175 lbs,Wake Forest,--
Denver Nuggets,Julian Strawther,NA,G,21,"6' 7""",205 lbs,Gonzaga,"$2,431,080"
Denver Nuggets,Hunter Tyson,NA,F,23,"6' 8""",215 lbs,Clemson,"$1,119,563"
Denver Nuggets,Peyton Watson,8,F,21,"6' 8""",200 lbs,UCLA,"$2,303,520"
Detroit Pistons,Marvin Bagley III,35,PF,24,"6' 10""",235 lbs,Duke,"$12,500,000"
Detroit Pistons,Buddy Boeheim,27,F,23,"6' 6""",205 lbs,Syracuse,--
